dm32          sin^2(theta23)  DeltaChi2 
0.0021026     0.515            2.327 
0.0021026     0.525            2.401 
0.0021026     0.535            2.508 
0.0021026     0.545            2.656 
0.0021026     0.555            2.851 
0.0021026     0.565            3.102 
0.0021026     0.575            3.421 
0.0021026     0.585            3.821 
0.0021026     0.595            4.314 
0.0021026     0.605            4.916 
0.0021026     0.615            5.643 
0.0021026     0.625            6.513 
0.0021026     0.635            7.542 
0.0021026     0.645            8.749 
0.0021026     0.655           10.151 
0.0021026     0.665           11.768 
0.0021026     0.675           13.615 
0.0021026     0.685           15.712 
0.0021026     0.695           18.075 
0.0021026     0.705           20.719 
0.0021026     0.715           23.659 
0.0021026     0.725           26.909 
0.0021026     0.735           30.482 
0.0021026     0.745           34.389 
0.0021386     0.245           38.149 
0.0021386     0.255           33.836 
0.0021386     0.265           29.868 
0.0021386     0.275           26.237 
0.0021386     0.285           22.931 
0.0021386     0.295           19.940 
0.0021386     0.305           17.249 
0.0021386     0.315           14.845 
0.0021386     0.325           12.711 
0.0021386     0.335           10.831 
0.0021386     0.345            9.189 
0.0021386     0.355            7.766 
0.0021386     0.365            6.544 
0.0021386     0.375            5.506 
0.0021386     0.385            4.632 
0.0021386     0.395            3.906 
0.0021386     0.405            3.309 
0.0021386     0.415            2.826 
0.0021386     0.425            2.441 
0.0021386     0.435            2.139 
0.0021386     0.445            1.907 
0.0021386     0.455            1.735 
0.0021386     0.465            1.611 
0.0021386     0.475            1.528 
0.0021386     0.485            1.479 
0.0021386     0.495            1.461 
0.0021386     0.505            1.470 
0.0021386     0.515            1.506 
0.0021386     0.525            1.571 
0.0021386     0.535            1.669 
0.0021386     0.545            1.805 
0.0021386     0.555            1.988 
0.0021386     0.565            2.225 
0.0021386     0.575            2.529 
0.0021386     0.585            2.913 
0.0021386     0.595            3.389 
0.0021386     0.605            3.974 
0.0021386     0.615            4.684 
0.0021386     0.625            5.536 
0.0021386     0.635            6.547 
0.0021386     0.645            7.736 
0.0021386     0.655            9.122 
0.0021386     0.665           10.722 
0.0021386     0.675           12.554 
0.0021386     0.685           14.637 
0.0021386     0.695           16.987 
0.0021386     0.705           19.620 
0.0021386     0.715           22.551 
0.0021386     0.725           25.794 
0.0021386     0.735           29.363 
0.0021386     0.745           33.267 
0.0021746     0.245           37.437 
0.0021746     0.255           33.118 
0.0021746     0.265           29.147 
0.0021746     0.275           25.514 
0.0021746     0.285           22.210 
0.0021746     0.295           19.220 
0.0021746     0.305           16.533 
0.0021746     0.315           14.134 
0.0021746     0.325           12.006 
0.0021746     0.335           10.134 
0.0021746     0.345            8.499 
0.0021746     0.355            7.084 
0.0021746     0.365            5.871 
0.0021746     0.375            4.840 
0.0021746     0.385            3.975 
0.0021746     0.395            3.256 
0.0021746     0.405            2.667 
0.0021746     0.415            2.190 
0.0021746     0.425            1.811 
0.0021746     0.435            1.514 
0.0021746     0.445            1.286 
0.0021746     0.455            1.115 
0.0021746     0.465            0.992 
0.0021746     0.475            0.909 
0.0021746     0.485            0.858 
0.0021746     0.495            0.835 
0.0021746     0.505            0.839 
0.0021746     0.515            0.868 
0.0021746     0.525            0.925 
0.0021746     0.535            1.012 
0.0021746     0.545            1.137 
0.0021746     0.555            1.306 
0.0021746     0.565            1.529 
0.0021746     0.575            1.818 
0.0021746     0.585            2.185 
0.0021746     0.595            2.644 
0.0021746     0.605            3.211 
0.0021746     0.615            3.902 
0.0021746     0.625            4.735 
0.0021746     0.635            5.727 
0.0021746     0.645            6.897 
0.0021746     0.655            8.264 
0.0021746     0.665            9.846 
0.0021746     0.675           11.661 
0.0021746     0.685           13.728 
0.0021746     0.695           16.063 
0.0021746     0.705           18.682 
0.0021746     0.715           21.602 
0.0021746     0.725           24.835 
0.0021746     0.735           28.395 
0.0021746     0.745           32.294 
0.0022106     0.245           36.878 
0.0022106     0.255           32.557 
0.0022106     0.265           28.585 
0.0022106     0.275           24.954 
0.0022106     0.285           21.652 
0.0022106     0.295           18.667 
0.0022106     0.305           15.986 
0.0022106     0.315           13.593 
0.0022106     0.325           11.473 
0.0022106     0.335            9.609 
0.0022106     0.345            7.983 
0.0022106     0.355            6.577 
0.0022106     0.365            5.373 
0.0022106     0.375            4.352 
0.0022106     0.385            3.495 
0.0022106     0.395            2.785 
0.0022106     0.405            2.203 
0.0022106     0.415            1.733 
0.0022106     0.425            1.360 
0.0022106     0.435            1.068 
0.0022106     0.445            0.843 
0.0022106     0.455            0.675 
0.0022106     0.465            0.553 
0.0022106     0.475            0.468 
0.0022106     0.485            0.415 
0.0022106     0.495            0.389 
0.0022106     0.505            0.387 
0.0022106     0.515            0.409 
0.0022106     0.525            0.457 
0.0022106     0.535            0.534 
0.0022106     0.545            0.647 
