dm32           sin^2(theta23)  DeltaChi2 
-0.0022894     0.285           20.123 
-0.0022894     0.295           17.274 
-0.0022894     0.305           14.722 
-0.0022894     0.315           12.451 
-0.0022894     0.325           10.444 
-0.0022894     0.335            8.685 
-0.0022894     0.345            7.154 
-0.0022894     0.355            5.834 
-0.0022894     0.365            4.706 
-0.0022894     0.375            3.751 
-0.0022894     0.385            2.951 
-0.0022894     0.395            2.288 
-0.0022894     0.405            1.744 
-0.0022894     0.415            1.305 
-0.0022894     0.425            0.953 
-0.0022894     0.435            0.676 
-0.0022894     0.445            0.461 
-0.0022894     0.455            0.298 
-0.0022894     0.465            0.176 
-0.0022894     0.475            0.090 
-0.0022894     0.485            0.034 
-0.0022894     0.495            0.004 
-0.0022894     0.505            0.000 
-0.0022894     0.515            0.023 
-0.0022894     0.525            0.075 
-0.0022894     0.535            0.162 
-0.0022894     0.545            0.290 
-0.0022894     0.555            0.469 
-0.0022894     0.565            0.709 
-0.0022894     0.575            1.021 
-0.0022894     0.585            1.421 
-0.0022894     0.595            1.922 
-0.0022894     0.605            2.541 
-0.0022894     0.615            3.295 
-0.0022894     0.625            4.200 
-0.0022894     0.635            5.276 
-0.0022894     0.645            6.541 
-0.0022894     0.655            8.012 
-0.0022894     0.665            9.709 
-0.0022894     0.675           11.648 
-0.0022894     0.685           13.847 
-0.0022894     0.695           16.323 
-0.0022894     0.705           19.090 
-0.0022894     0.715           22.162 
-0.0022894     0.725           25.553 
-0.0022894     0.735           29.275 
-0.0022894     0.745           33.336 
-0.0023254     0.245           34.618 
-0.0023254     0.255           30.455 
-0.0023254     0.265           26.640 
-0.0023254     0.275           23.163 
-0.0023254     0.285           20.011 
-0.0023254     0.295           17.171 
-0.0023254     0.305           14.629 
-0.0023254     0.315           12.368 
-0.0023254     0.325           10.373 
-0.0023254     0.335            8.624 
-0.0023254     0.345            7.105 
-0.0023254     0.355            5.796 
-0.0023254     0.365            4.679 
-0.0023254     0.375            3.734 
-0.0023254     0.385            2.944 
-0.0023254     0.395            2.290 
-0.0023254     0.405            1.754 
-0.0023254     0.415            1.322 
-0.0023254     0.425            0.977 
-0.0023254     0.435            0.704 
-0.0023254     0.445            0.493 
-0.0023254     0.455            0.332 
-0.0023254     0.465            0.211 
-0.0023254     0.475            0.124 
-0.0023254     0.485            0.066 
-0.0023254     0.495            0.032 
-0.0023254     0.505            0.023 
-0.0023254     0.515            0.038 
-0.0023254     0.525            0.082 
-0.0023254     0.535            0.159 
-0.0023254     0.545            0.276 
-0.0023254     0.555            0.441 
-0.0023254     0.565            0.666 
-0.0023254     0.575            0.964 
-0.0023254     0.585            1.346 
-0.0023254     0.595            1.830 
-0.0023254     0.605            2.430 
-0.0023254     0.615            3.163 
-0.0023254     0.625            4.049 
-0.0023254     0.635            5.104 
-0.0023254     0.645            6.347 
-0.0023254     0.655            7.798 
-0.0023254     0.665            9.473 
-0.0023254     0.675           11.391 
-0.0023254     0.685           13.569 
-0.0023254     0.695           16.025 
-0.0023254     0.705           18.772 
-0.0023254     0.715           21.826 
-0.0023254     0.725           25.199 
-0.0023254     0.735           28.903 
-0.0023254     0.745           32.950 
-0.0023614     0.245           34.608 
-0.0023614     0.255           30.454 
-0.0023614     0.265           26.648 
-0.0023614     0.275           23.182 
-0.0023614     0.285           20.041 
-0.0023614     0.295           17.213 
-0.0023614     0.305           14.683 
-0.0023614     0.315           12.434 
-0.0023614     0.325           10.451 
-0.0023614     0.335            8.715 
-0.0023614     0.345            7.208 
-0.0023614     0.355            5.911 
